client_id,sex,birth,age,group,group2,cat0,cat1,cat2,total,CAcat0,CAcat1,CAcat2,CA
c_4410,f,1967,56,"(50, 70]","(30, 65]",38.0,37.0,1.0,76.0,501.56,729.27,145.99,1376.82
c_7839,f,1975,48,"(30, 50]","(30, 65]",22.0,14.0,0.0,36.0,227.14999999999998,327.78,0.0,554.93
c_1699,f,1984,39,"(30, 50]","(30, 65]",13.0,2.0,0.0,15.0,152.44,38.16,0.0,190.6
c_5961,f,1962,61,"(50, 70]","(30, 65]",37.0,39.0,0.0,76.0,331.3,819.12,0.0,1150.42
c_5320,m,1943,80,"(70, 94]","(65, 94]",12.0,12.0,0.0,24.0,163.87,232.66,0.0,396.53
c_415,m,1993,30,"(18, 30]","(18, 30]",16.0,14.0,15.0,45.0,188.54,255.57999999999998,1609.0900000000001,2053.21
c_285,f,1967,56,"(50, 70]","(30, 65]",24.0,22.0,0.0,46.0,245.24,362.5,0.0,607.74
c_160,f,1978,45,"(30, 50]","(30, 65]",37.0,16.0,0.0,53.0,383.15,359.25,0.0,742.4
c_6446,m,1971,52,"(50, 70]","(30, 65]",7.0,20.0,0.0,27.0,60.46,491.26,0.0,551.72
c_6866,m,1993,30,"(18, 30]","(18, 30]",9.0,9.0,5.0,23.0,70.26,213.37,265.95,549.5799999999999
c_1013,m,1982,41,"(30, 50]","(30, 65]",126.0,48.0,3.0,177.0,1522.8799999999999,994.0899999999999,127.53,2644.5
c_4389,m,1984,39,"(30, 50]","(30, 65]",67.0,31.0,1.0,99.0,726.42,621.37,145.99,1493.78
c_1375,m,1945,78,"(70, 94]","(65, 94]",3.0,8.0,0.0,11.0,46.86,181.01,0.0,227.87
c_2998,m,2003,20,"(18, 30]","(18, 30]",20.0,9.0,13.0,42.0,199.85,165.91,1640.6,2006.36
c_2322,f,1967,56,"(50, 70]","(30, 65]",9.0,22.0,0.0,31.0,114.83999999999999,568.4399999999999,0.0,683.28
c_4701,f,1971,52,"(50, 70]","(30, 65]",6.0,5.0,0.0,11.0,50.28,86.94999999999999,0.0,137.23
c_8203,f,1959,64,"(50, 70]","(30, 65]",22.0,5.0,0.0,27.0,227.51,106.71,0.0,334.21999999999997
c_5019,f,1977,46,"(30, 50]","(30, 65]",71.0,19.0,1.0,91.0,730.1899999999999,464.95,145.99,1341.1299999999999
c_6616,f,1954,69,"(50, 70]","(65, 94]",12.0,18.0,1.0,31.0,109.05,367.0,60.37,536.42
c_7049,f,1987,36,"(30, 50]","(30, 65]",100.0,33.0,0.0,133.0,1146.44,660.73,0.0,1807.17
c_4710,m,1967,56,"(50, 70]","(30, 65]",5.0,1.0,2.0,8.0,50.95,13.99,133.17000000000002,198.11
c_7900,f,2000,23,"(18, 30]","(18, 30]",13.0,14.0,1.0,28.0,159.27,447.23,236.99,843.49
c_6245,m,1945,78,"(70, 94]","(65, 94]",8.0,10.0,0.0,18.0,54.75,193.58,0.0,248.33
c_4279,m,1992,31,"(30, 50]","(30, 65]",3.0,1.0,3.0,7.0,36.08,17.63,257.02,310.72999999999996
c_3692,f,1963,60,"(50, 70]","(30, 65]",2.0,11.0,0.0,13.0,15.98,185.15,0.0,201.13
c_1361,f,1982,41,"(30, 50]","(30, 65]",62.0,33.0,0.0,95.0,620.42,652.0999999999999,0.0,1272.52
c_2487,f,1958,65,"(50, 70]","(30, 65]",6.0,6.0,0.0,12.0,58.97,188.54999999999998,0.0,247.51999999999998
c_6884,m,1994,29,"(18, 30]","(18, 30]",0.0,2.0,4.0,6.0,0.0,43.14,279.96,323.09999999999997
c_1466,f,1936,87,"(70, 94]","(65, 94]",28.0,32.0,0.0,60.0,281.16,740.68,0.0,1021.8399999999999
c_3213,m,2003,20,"(18, 30]","(18, 30]",10.0,10.0,6.0,26.0,116.58,138.31,488.62999999999994,743.52
c_5152,f,1986,37,"(30, 50]","(30, 65]",187.0,35.0,0.0,222.0,1907.53,740.7,0.0,2648.23
c_539,m,1942,81,"(70, 94]","(65, 94]",85.0,105.0,2.0,192.0,912.82,2333.14,118.28,3364.2400000000002
c_4799,f,1970,53,"(50, 70]","(30, 65]",16.0,16.0,0.0,32.0,139.89,266.06,0.0,405.95
c_1685,m,1977,46,"(30, 50]","(30, 65]",38.0,13.0,0.0,51.0,359.83,450.49,0.0,810.3199999999999
c_3001,f,1967,56,"(50, 70]","(30, 65]",3.0,5.0,0.0,8.0,26.4,118.85,0.0,145.25
c_7548,m,1957,66,"(50, 70]","(65, 94]",35.0,31.0,0.0,66.0,380.31,589.55,0.0,969.8599999999999
c_3654,f,1978,45,"(30, 50]","(30, 65]",134.0,34.0,0.0,168.0,1351.24,779.99,0.0,2131.23
c_459,m,1957,66,"(50, 70]","(65, 94]",41.0,43.0,0.0,84.0,352.51,880.2,0.0,1232.71
c_3991,f,1982,41,"(30, 50]","(30, 65]",249.0,59.0,0.0,308.0,2721.1,1409.04,0.0,4130.139999999999
c_3477,f,1968,55,"(50, 70]","(30, 65]",9.0,6.0,0.0,15.0,111.3,104.71000000000001,0.0,216.01
c_5361,f,1968,55,"(50, 70]","(30, 65]",26.0,29.0,0.0,55.0,279.8,576.88,0.0,856.6800000000001
c_125,m,2002,21,"(18, 30]","(18, 30]",8.0,4.0,7.0,19.0,91.72,68.55,846.49,1006.76
c_4313,m,1967,56,"(50, 70]","(30, 65]",28.0,32.0,5.0,65.0,279.17,604.99,289.40999999999997,1173.5700000000002
c_1046,m,2004,19,"(18, 30]","(18, 30]",18.0,18.0,5.0,41.0,177.53,381.48,360.57000000000005,919.58
c_5633,f,1986,37,"(30, 50]","(30, 65]",49.0,26.0,5.0,80.0,497.74,420.46999999999997,436.95,1355.16
c_169,f,1979,44,"(30, 50]","(30, 65]",105.0,36.0,3.0,144.0,1060.11,668.61,177.42000000000002,1906.1399999999999
c_1303,m,1987,36,"(30, 50]","(30, 65]",24.0,16.0,0.0,40.0,261.77,344.92,0.0,606.69
c_329,f,1967,56,"(50, 70]","(30, 65]",24.0,39.0,0.0,63.0,337.56,795.38,0.0,1132.94
c_3473,m,1974,49,"(30, 50]","(30, 65]",127.0,53.0,0.0,180.0,1260.44,981.39,0.0,2241.83
c_3424,m,2003,20,"(18, 30]","(18, 30]",1.0,2.0,11.0,14.0,2.99,45.98,1193.27,1242.24
c_2098,f,1964,59,"(50, 70]","(30, 65]",70.0,41.0,0.0,111.0,838.24,858.18,0.0,1696.42
c_8413,f,2003,20,"(18, 30]","(18, 30]",18.0,20.0,13.0,51.0,174.36,408.06,1231.24,1813.66
c_4223,f,1951,72,"(70, 94]","(65, 94]",0.0,1.0,0.0,1.0,0.0,24.81,0.0,24.81
c_1136,f,1937,86,"(70, 94]","(65, 94]",31.0,17.0,0.0,48.0,260.35,368.65,0.0,629.0
c_5110,f,1982,41,"(30, 50]","(30, 65]",47.0,8.0,0.0,55.0,429.51,167.13,0.0,596.64
c_3023,m,1970,53,"(50, 70]","(30, 65]",4.0,17.0,0.0,21.0,44.7,480.02,0.0,524.72
c_7675,m,1968,55,"(50, 70]","(30, 65]",44.0,66.0,0.0,110.0,452.11,1655.1,0.0,2107.21
c_6071,f,1981,42,"(30, 50]","(30, 65]",18.0,6.0,0.0,24.0,161.17,145.39,0.0,306.55999999999995
c_344,m,1965,58,"(50, 70]","(30, 65]",60.0,102.0,2.0,164.0,695.39,2200.41,115.98,3011.7799999999997
c_7384,m,1968,55,"(50, 70]","(30, 65]",17.0,44.0,0.0,61.0,157.12,1019.99,0.0,1177.1100000000001
c_3512,f,1981,42,"(30, 50]","(30, 65]",54.0,26.0,0.0,80.0,639.28,482.97999999999996,0.0,1122.26
c_6699,f,1986,37,"(30, 50]","(30, 65]",62.0,27.0,0.0,89.0,565.76,474.82,0.0,1040.58
c_2167,f,1960,63,"(50, 70]","(30, 65]",19.0,12.0,0.0,31.0,237.67,211.7,0.0,449.37
c_2253,m,1967,56,"(50, 70]","(30, 65]",35.0,31.0,0.0,66.0,377.82,722.68,0.0,1100.5
c_5139,f,2000,23,"(18, 30]","(18, 30]",0.0,0.0,5.0,5.0,0.0,0.0,307.95,307.95
c_5138,m,1996,27,"(18, 30]","(18, 30]",0.0,11.0,28.0,39.0,0.0,203.57,1797.24,2000.81
c_7255,m,1983,40,"(30, 50]","(30, 65]",3.0,2.0,0.0,5.0,20.5,43.64,0.0,64.14
c_4575,m,1993,30,"(18, 30]","(18, 30]",6.0,13.0,6.0,25.0,35.94,287.51,659.28,982.73
c_6673,m,1990,33,"(30, 50]","(30, 65]",27.0,3.0,0.0,30.0,282.04,50.94,0.0,332.98
c_3060,m,1971,52,"(50, 70]","(30, 65]",40.0,33.0,0.0,73.0,453.05,603.89,0.0,1056.94
c_3662,m,1968,55,"(50, 70]","(30, 65]",27.0,43.0,0.0,70.0,386.85999999999996,933.0,0.0,1319.86
c_3081,m,2004,19,"(18, 30]","(18, 30]",0.0,9.0,2.0,11.0,0.0,155.94,150.73,306.66999999999996
c_7391,m,1955,68,"(50, 70]","(65, 94]",19.0,13.0,0.0,32.0,221.22,293.8,0.0,515.02
c_3710,f,1983,40,"(30, 50]","(30, 65]",64.0,17.0,0.0,81.0,669.62,330.87,0.0,1000.49
c_5422,f,1988,35,"(30, 50]","(30, 65]",123.0,59.0,0.0,182.0,1270.96,1152.34,0.0,2423.3
c_651,m,1964,59,"(50, 70]","(30, 65]",48.0,62.0,2.0,112.0,520.15,1363.8899999999999,85.02,1969.06
c_3598,f,1991,32,"(30, 50]","(30, 65]",61.0,17.0,0.0,78.0,609.82,494.29999999999995,0.0,1104.12
c_939,m,1972,51,"(50, 70]","(30, 65]",45.0,16.0,0.0,61.0,538.41,381.56,0.0,919.97
c_1783,m,1980,43,"(30, 50]","(30, 65]",26.0,10.0,0.0,36.0,318.79,218.85999999999999,0.0,537.65
c_5050,f,1989,34,"(30, 50]","(30, 65]",46.0,23.0,3.0,72.0,481.68,526.16,167.37,1175.21
c_5445,m,1962,61,"(50, 70]","(30, 65]",23.0,24.0,0.0,47.0,245.54,531.84,0.0,777.38
c_6809,m,1986,37,"(30, 50]","(30, 65]",43.0,14.0,0.0,57.0,388.98,255.58999999999997,0.0,644.5699999999999
c_8349,m,1954,69,"(50, 70]","(65, 94]",12.0,13.0,0.0,25.0,154.60999999999999,228.29,0.0,382.9
c_3196,f,1958,65,"(50, 70]","(30, 65]",31.0,24.0,4.0,59.0,285.52,439.88,368.22,1093.62
c_4505,m,1976,47,"(30, 50]","(30, 65]",157.0,45.0,0.0,202.0,1760.695589254766,913.48,0.0,2674.1755892547662
c_181,f,1942,81,"(70, 94]","(65, 94]",5.0,6.0,0.0,11.0,37.63,108.81,0.0,146.44
c_7921,f,1982,41,"(30, 50]","(30, 65]",56.0,23.0,1.0,80.0,641.35,574.31,145.99,1361.6499999999999
c_7946,f,1987,36,"(30, 50]","(30, 65]",149.0,48.0,0.0,197.0,1552.08,862.55,0.0,2414.63
c_6312,f,1967,56,"(50, 70]","(30, 65]",23.0,15.0,0.0,38.0,243.98,320.95,0.0,564.93
c_1615,m,1990,33,"(30, 50]","(30, 65]",87.0,36.0,0.0,123.0,930.8100000000001,757.16,0.0,1687.97
c_4767,m,1979,44,"(30, 50]","(30, 65]",23.0,7.0,0.0,30.0,210.8,180.07,0.0,390.87
c_4398,f,1978,45,"(30, 50]","(30, 65]",37.0,5.0,0.0,42.0,416.45,75.66,0.0,492.11
c_3468,f,1981,42,"(30, 50]","(30, 65]",37.0,15.0,0.0,52.0,362.345589254766,364.14,0.0,726.485589254766
c_6208,f,1982,41,"(30, 50]","(30, 65]",38.0,19.0,0.0,57.0,344.88,532.97,0.0,877.85
c_997,f,1994,29,"(18, 30]","(18, 30]",23.0,21.0,15.0,59.0,207.28,471.75,810.98,1490.01
c_1418,f,2004,19,"(18, 30]","(18, 30]",0.0,9.0,14.0,23.0,0.0,263.90999999999997,1191.23,1455.1399999999999
c_1953,m,1964,59,"(50, 70]","(30, 65]",27.0,37.0,0.0,64.0,267.31,869.01,0.0,1136.32
c_3824,m,1958,65,"(50, 70]","(30, 65]",30.0,43.0,0.0,73.0,284.7,801.9399999999999,0.0,1086.6399999999999
c_1821,m,2003,20,"(18, 30]","(18, 30]",9.0,6.0,6.0,21.0,49.71,156.14,692.1,897.95
c_7249,f,1993,30,"(18, 30]","(18, 30]",7.0,31.0,19.0,57.0,47.47,832.31,2312.54,3192.3199999999997
c_198,f,1989,34,"(30, 50]","(30, 65]",19.0,5.0,0.0,24.0,255.57,123.05,0.0,378.62
c_3338,m,2004,19,"(18, 30]","(18, 30]",13.0,24.0,10.0,47.0,88.94,476.86,885.41,1451.21
c_420,f,1987,36,"(30, 50]","(30, 65]",78.0,27.0,0.0,105.0,805.77,544.63,0.0,1350.4
c_3550,f,1985,38,"(30, 50]","(30, 65]",49.0,24.0,1.0,74.0,454.25,499.33,145.99,1099.57
c_4020,m,1953,70,"(50, 70]","(65, 94]",21.0,16.0,1.0,38.0,238.67,335.54,145.99,720.2
c_4662,f,1960,63,"(50, 70]","(30, 65]",37.0,39.0,0.0,76.0,387.27,762.3299999999999,0.0,1149.6
c_1774,f,2004,19,"(18, 30]","(18, 30]",21.0,13.0,15.0,49.0,203.93,219.53,1034.05,1457.51
c_3939,m,1955,68,"(50, 70]","(65, 94]",41.0,12.0,1.0,54.0,514.15,268.82,127.99,910.96
c_8278,f,1984,39,"(30, 50]","(30, 65]",82.0,32.0,3.0,117.0,913.57,569.51,181.10999999999999,1664.1899999999998
c_8357,m,2004,19,"(18, 30]","(18, 30]",22.0,13.0,6.0,41.0,201.35,316.84999999999997,504.66,1022.8599999999999
c_4134,f,1962,61,"(50, 70]","(30, 65]",21.0,19.0,0.0,40.0,249.81,398.81,0.0,648.62
c_5113,m,1951,72,"(70, 94]","(65, 94]",36.0,83.0,0.0,119.0,463.01,1585.59,0.0,2048.6
c_6829,m,1982,41,"(30, 50]","(30, 65]",31.0,6.0,0.0,37.0,359.2,108.14999999999999,0.0,467.34999999999997
c_6881,m,1980,43,"(30, 50]","(30, 65]",132.0,82.0,0.0,214.0,1230.07,1858.77,0.0,3088.84
c_4271,f,1968,55,"(50, 70]","(30, 65]",10.0,14.0,0.0,24.0,182.04,305.48,0.0,487.52
c_5758,m,1978,45,"(30, 50]","(30, 65]",51.0,14.0,1.0,66.0,575.73,239.85999999999999,145.99,961.58
c_2384,m,1998,25,"(18, 30]","(18, 30]",2.0,9.0,13.0,24.0,39.06,136.38,947.1999999999999,1122.6399999999999
c_6276,m,2004,19,"(18, 30]","(18, 30]",0.0,0.0,13.0,13.0,0.0,0.0,1309.15,1309.15
c_3170,f,1970,53,"(50, 70]","(30, 65]",50.0,52.0,0.0,102.0,594.31,1036.3999999999999,0.0,1630.7099999999998
c_1934,f,2004,19,"(18, 30]","(18, 30]",9.0,29.0,26.0,64.0,96.50999999999999,583.63,1927.75,2607.89
c_2123,f,1998,25,"(18, 30]","(18, 30]",0.0,9.0,5.0,14.0,0.0,168.87,293.67,462.54
c_6994,m,1968,55,"(50, 70]","(30, 65]",49.0,49.0,0.0,98.0,579.51,1016.4699999999999,0.0,1595.98
c_8083,m,1956,67,"(50, 70]","(65, 94]",16.0,8.0,0.0,24.0,121.5,132.9,0.0,254.4
c_5544,f,1948,75,"(70, 94]","(65, 94]",52.0,43.0,0.0,95.0,606.82,890.86,0.0,1497.68
c_6822,f,1971,52,"(50, 70]","(30, 65]",16.0,64.0,0.0,80.0,121.1,1300.4099999999999,0.0,1421.5099999999998
c_7222,f,1996,27,"(18, 30]","(18, 30]",0.0,19.0,29.0,48.0,0.0,327.37,2405.2999999999997,2732.6699999999996
c_7758,m,1970,53,"(50, 70]","(30, 65]",31.0,20.0,0.0,51.0,384.21,490.9,0.0,875.1099999999999
c_3247,f,1973,50,"(30, 50]","(30, 65]",92.0,45.0,0.0,137.0,1041.68,907.26,0.0,1948.94
c_1721,f,1969,54,"(50, 70]","(30, 65]",3.0,21.0,1.0,25.0,31.86,440.63,50.99,523.48
c_2666,m,1972,51,"(50, 70]","(30, 65]",33.0,15.0,0.0,48.0,417.76,321.4,0.0,739.16
c_2124,f,1938,85,"(70, 94]","(65, 94]",8.0,14.0,0.0,22.0,99.0,288.7,0.0,387.7
c_1199,f,1990,33,"(30, 50]","(30, 65]",116.0,53.0,0.0,169.0,1151.98,1125.74,0.0,2277.7200000000003
c_4472,m,1973,50,"(30, 50]","(30, 65]",26.0,10.0,0.0,36.0,345.4,203.04,0.0,548.4399999999999
c_4430,m,1986,37,"(30, 50]","(30, 65]",23.0,18.0,2.0,43.0,214.48,383.32,173.91,771.7099999999999
c_4882,m,1979,44,"(30, 50]","(30, 65]",51.0,15.0,0.0,66.0,559.7,332.96999999999997,0.0,892.6700000000001
c_2611,f,1987,36,"(30, 50]","(30, 65]",176.0,54.0,0.0,230.0,1763.47,1089.6,0.0,2853.0699999999997
c_2005,f,1989,34,"(30, 50]","(30, 65]",61.0,15.0,1.0,77.0,681.85,309.46999999999997,42.51,1033.83
c_3366,f,1938,85,"(70, 94]","(65, 94]",41.0,76.0,0.0,117.0,501.29,1522.77,0.0,2024.06
c_7944,m,1995,28,"(18, 30]","(18, 30]",3.0,4.0,10.0,17.0,23.97,167.98000000000002,671.4499999999999,863.4
c_1044,m,1956,67,"(50, 70]","(65, 94]",7.0,14.0,0.0,21.0,90.41999999999999,336.11,0.0,426.53
c_488,f,1985,38,"(30, 50]","(30, 65]",55.0,28.0,0.0,83.0,491.86,562.34,0.0,1054.2
c_7857,f,1992,31,"(30, 50]","(30, 65]",7.0,2.0,9.0,18.0,66.92,36.339999999999996,606.0699999999999,709.3299999999999
c_4683,f,2000,23,"(18, 30]","(18, 30]",0.0,18.0,45.0,63.0,0.0,444.02,3194.88,3638.9
c_7718,f,1994,29,"(18, 30]","(18, 30]",5.0,19.0,16.0,40.0,52.27,411.66999999999996,1048.16,1512.1
c_5059,f,2004,19,"(18, 30]","(18, 30]",5.0,1.0,4.0,10.0,62.96,24.4,195.08,282.44
c_6845,m,2002,21,"(18, 30]","(18, 30]",8.0,2.0,10.0,20.0,67.58,30.349999999999998,1250.93,1348.8600000000001
c_2311,m,1952,71,"(70, 94]","(65, 94]",20.0,24.0,0.0,44.0,228.88,421.32,0.0,650.2
c_7200,m,1967,56,"(50, 70]","(30, 65]",36.0,38.0,0.0,74.0,416.76,917.1999999999999,0.0,1333.96
c_5214,m,1971,52,"(50, 70]","(30, 65]",13.0,9.0,0.0,22.0,142.97,211.64,0.0,354.61
c_4207,m,1962,61,"(50, 70]","(30, 65]",27.0,21.0,0.0,48.0,316.46,375.96999999999997,0.0,692.43
c_6468,m,1942,81,"(70, 94]","(65, 94]",39.0,41.0,0.0,80.0,428.44,744.9399999999999,0.0,1173.3799999999999
c_2510,f,1969,54,"(50, 70]","(30, 65]",5.0,4.0,0.0,9.0,65.78,60.589999999999996,0.0,126.37
c_1499,m,1988,35,"(30, 50]","(30, 65]",117.0,44.0,0.0,161.0,1160.79,887.19,0.0,2047.98
c_7441,f,1953,70,"(50, 70]","(65, 94]",36.0,11.0,1.0,48.0,370.51,268.22999999999996,145.99,784.73
c_2402,f,1949,74,"(70, 94]","(65, 94]",28.0,23.0,0.0,51.0,301.36,463.23999999999995,0.0,764.5999999999999
c_6105,f,1969,54,"(50, 70]","(30, 65]",51.0,76.0,0.0,127.0,494.21999999999997,1523.34,0.0,2017.56
c_4978,f,1986,37,"(30, 50]","(30, 65]",80.0,16.0,0.0,96.0,940.13,350.24,0.0,1290.37
c_1239,m,1985,38,"(30, 50]","(30, 65]",203.0,68.0,1.0,272.0,2023.14,1528.56,145.99,3697.6899999999996
c_6060,m,1988,35,"(30, 50]","(30, 65]",36.0,21.0,1.0,58.0,335.86,481.45,145.99,963.3
c_1958,f,1983,40,"(30, 50]","(30, 65]",133.0,29.0,0.0,162.0,1483.44,598.9499999999999,0.0,2082.39
c_3167,f,1965,58,"(50, 70]","(30, 65]",19.0,28.0,0.0,47.0,215.57,643.54,0.0,859.1099999999999
c_6917,f,1984,39,"(30, 50]","(30, 65]",107.0,18.0,0.0,125.0,1244.15,327.82,0.0,1571.97
c_6534,f,1999,24,"(18, 30]","(18, 30]",8.0,11.0,2.0,21.0,85.24,224.54,111.56,421.34
c_8564,f,1976,47,"(30, 50]","(30, 65]",20.0,4.0,0.0,24.0,243.49,87.96,0.0,331.45
c_2120,m,2001,22,"(18, 30]","(18, 30]",0.0,4.0,3.0,7.0,0.0,104.96,188.35,293.31
